PID: 5858, Pawns X: 30, Y: 17
PID: 5858, Pawns X: 42, Y: 2
PID: 5858, Pawns X: 6, Y: 7
PID: 5858, Pawns X: 42, Y: 17
PID: 5858, Pawns X: 42, Y: 12
PID: 5858, Pawns X: 454, Y: 1016
PID: 5858, Pawns X: 18, Y: 17
PID: 5858, Pawns X: 42, Y: 7
PID: 5858, Pawns X: 6, Y: 17
PID: 5858, Pawns X: 30, Y: 2
PID: 5857, Pawns X: 54, Y: 7
PID: 5857, Pawns X: 54, Y: 12
PID: 5857, Pawns X: 54, Y: 2
PID: 5857, Pawns X: 6, Y: 12
PID: 5857, Pawns X: 54, Y: 17
PID: 5857, Pawns X: 454, Y: 1016
PID: 5857, Pawns X: 18, Y: 7
PID: 5857, Pawns X: 18, Y: 2
PID: 5857, Pawns X: 30, Y: 7
PID: 5857, Pawns X: 18, Y: 12
